TEAM,DEF RTG,DREB,DREB%,STL,BLK,"OPP PTS
OFF TOV","OPP PTS
2ND CHANCE","OPP PTS
FB","OPP PTS
PAINT"
Clippers,109.7,33.4,75.3,7.6,4.9,16.2,10.1,12.9,43.1
Lakers,104.6,38.1,76.7,6.9,6.5,17.1,12,12.2,47.7
76ers,106.1,36.9,72.7,8.7,6.8,19.7,13.9,17.8,44
Jazz,106.4,38.5,74.2,5.6,5.9,17.4,11.5,12.4,48.9
Nets,110.6,37.8,71.9,6.8,6,17.6,16.7,13.1,50.3
Bucks,108.2,36.6,73.6,9.1,4.8,17.4,12.7,9.1,42.4
Celtics,109.8,33.8,73.2,8.5,5.5,17.5,14.5,13.6,46.5
Warriors,109.1,35.9,71.4,7.4,5.6,19.2,14.9,13.7,44.6
Pacers,108.8,33.6,73.7,9.6,5.2,14.9,11.7,11.7,49.3
Suns,108,34.6,75.5,5.8,5,15.8,13.1,11.8,46.2
Trail Blazers,113.7,34.4,73.3,8.4,5,14.7,14,15.9,46.6
Spurs,108.4,35.9,74.9,7.1,5,11.5,14.3,12.9,48.9
Hawks,107.3,37.7,74.6,6.8,4.3,16,12.2,11.9,46.4
Cavaliers,105.5,32.9,71.2,10.1,4.9,17.8,10.9,12.8,43.9
Mavericks,106.9,35.9,74.2,7.5,4.7,15.7,13.4,12.1,45.3
Nuggets,111.3,32.7,73.9,8.6,4.4,18.8,10.2,12.7,47
Grizzlies,106.1,34.8,72.9,10.4,4.8,17.4,10.2,13.7,44.8
Knicks,106.2,35.9,73,7,5.1,17.7,12.1,12.9,44.5
Magic,109.9,34.7,75.9,7.4,3.7,15.1,10.7,12.4,47.2
Hornets,107.9,33.8,70.4,9.1,5.5,18.3,13,15.1,45.6
Bulls,113.8,36.5,76.4,7.9,4.1,21.3,11.6,12,46.1
Heat,110.7,35.5,72.5,6.2,3.8,22.2,12.4,13.5,38.6
Thunder,110.3,37.4,73.9,6.8,4.9,17.9,13.8,8.8,50.5
Pelicans,110.7,36.1,77.3,7.5,3.7,19.1,11.5,13.2,40.6
Kings,119.9,32.5,74.4,6.5,5.1,19.7,12.5,15.5,52.3
Raptors,110.2,33.4,71.9,8.5,5.9,17.6,14.3,12.5,40.1
Rockets,109.6,34.8,70.5,7.9,6.3,19.6,14.4,15.3,49.7
Pistons,111.9,31.9,72.4,8.4,4.4,15.9,11.8,12.1,46.4
Timberwolves,113,33.4,70.4,7.9,5.6,18.6,13.8,15.5,52.3
Wizards,114.4,33.7,75.6,7.3,3.5,16.7,11.2,10.3,47.3